threshold,CompareCount1,time1,CompareCount2,time2,CompareCount3,time3
1,960403513,15034,960399006,16617,960403040,9307
2,960403513,8330,960399006,8478,960403040,8398
3,960403010,8087,960400449,7708,960402932,7859
4,960887864,7726,960887630,7789,960891016,7778
5,964431551,7349,964431758,7572,964431595,7338
6,964431551,7369,964431758,7431,964431595,7311
7,964431551,7513,964431758,7599,964431595,7329
8,964431551,7523,964431758,7435,964431595,7437
9,972600945,7676,972599516,7483,972600333,7322
10,985680335,7277,985655787,7131,985667095,7191
11,985680335,7222,985655787,7104,985667095,6972
12,985680335,7038,985655787,7024,985667095,6991
13,985680335,7114,985655787,7091,985667095,7114
14,985680335,7048,985655787,7190,985667095,7195
15,985680335,6955,985655787,7044,985667095,7305
16,985680335,7509,985655787,7066,985667095,7222
17,985680335,7140,985655787,7292,985667095,7259
18,985680335,7163,985655787,7182,985667095,7351
19,1044011980,6979,1044011510,6967,1044017998,7152
20,1049267890,7229,1049264361,7202,1049280577,6989
21,1049267890,6982,1049264361,7031,1049280577,7077
22,1049267890,7130,1049264361,6924,1049280577,7063
23,1049267890,7065,1049264361,7079,1049280577,7023
24,1049267890,7061,1049264361,7520,1049280577,7035
25,1049267890,6920,1049264361,6911,1049280577,7015
26,1049267890,7202,1049264361,6812,1049280577,6832
27,1049267890,6948,1049264361,6990,1049280577,6664
28,1049267890,6675,1049264361,6765,1049280577,6762
29,1049267890,6829,1049264361,6888,1049280577,6920
30,1049267890,6975,1049264361,7084,1049280577,7065
31,1049267890,7060,1049264361,7181,1049280577,7167
32,1049267890,6934,1049264361,6898,1049280577,6989
33,1049267890,7527,1049264361,7052,1049280577,7092
34,1049267890,7005,1049264361,7096,1049280577,6946
35,1049267890,6970,1049264361,7141,1049280577,6964
36,1049267890,7130,1049264361,6791,1049280577,6953
37,1049267890,7027,1049264361,6964,1049280577,6897
38,1180945085,7059,1181009048,7039,1181004464,7062
39,1204931144,7092,1205002526,6944,1205008366,7120
40,1204931144,7202,1205002526,7321,1205008366,7040
41,1204931144,7094,1205002526,7422,1205008366,7140
42,1204931144,6875,1205002526,7054,1205008366,6931
43,1204931144,6861,1205002526,6848,1205008366,6846
44,1204931144,6851,1205002526,7037,1205008366,13035
45,1204931144,20232,1205002526,19988,1205008366,5044
46,1204931144,8692,1205002526,7141,1205008366,7048
47,1204931144,7848,1205002526,13979,1205008366,19862
48,1204931144,20358,1205002526,20172,1205008366,20612
49,1204931144,20250,1205002526,16214,1205008366,12032
50,1204931144,19551,1205002526,9567,1205008366,7373
51,1204931144,7590,1205002526,8005,1205008366,7256
52,1204931144,12932,1205002526,20295,1205008366,19809
53,1204931144,17775,1205002526,20069,1205008366,19636
54,1204931144,20790,1205002526,18585,1205008366,19351
55,1204931144,19867,1205002526,19508,1205008366,19913
56,1204931144,19947,1205002526,20366,1205008366,19085
57,1204931144,19207,1205002526,19689,1205008366,17969
58,1204931144,19863,1205002526,19558,1205008366,19154
59,1204931144,19866,1205002526,19364,1205008366,19448
60,1204931144,19504,1205002526,20270,1205008366,19870
61,1204931144,20445,1205002526,19878,1205008366,19987
62,1204931144,20182,1205002526,20363,1205008366,19354
63,1204931144,20204,1205002526,19804,1205008366,19290
64,1204931144,19937,1205002526,20179,1205008366,20140
65,1204931144,20533,1205002526,19755,1205008366,19808
66,1204931144,20050,1205002526,20210,1205008366,19963
67,1204931144,20274,1205002526,20323,1205008366,19974
68,1204931144,20130,1205002526,20300,1205008366,20071
69,1204931144,19955,1205002526,20626,1205008366,19654
70,1204931144,10328,1205002526,8215,1205008366,8093
71,1204931144,8363,1205002526,7807,1205008366,7664
72,1204931144,7874,1205002526,7256,1205008366,10520
73,1204931144,7883,1205002526,7656,1205008366,7259
74,1204931144,7888,1205002526,8092,1205008366,7357
75,1204931144,7147,1205002526,7075,1205008366,7255
76,1446054218,11512,1446094093,13006,1446242718,7380
77,1549243646,7845,1549263881,7973,1549434716,7824
78,1549243646,8188,1549263881,12768,1549434716,9384
79,1549243646,8329,1549263881,8762,1549434716,8348
80,1549243646,8569,1549263881,8536,1549434716,8176
81,1549243646,8517,1549263881,8266,1549434716,8600
82,1549243646,8273,1549263881,8189,1549434716,17983
83,1549243646,7606,1549263881,8761,1549434716,7793
84,1549243646,21070,1549263881,21764,1549434716,15371
85,1549243646,8461,1549263881,8662,1549434716,11997
86,1549243646,7636,1549263881,7600,1549434716,7690
87,1549243646,7741,1549263881,18277,1549434716,8531
88,1549243646,7928,1549263881,8284,1549434716,8538
89,1549243646,8826,1549263881,8229,1549434716,8564
90,1549243646,8007,1549263881,8606,1549434716,7911
91,1549243646,8368,1549263881,9087,1549434716,21133
92,1549243646,20529,1549263881,20864,1549434716,20822
93,1549243646,21766,1549263881,17940,1549434716,21962
94,1549243646,21097,1549263881,21286,1549434716,21782
95,1549243646,21294,1549263881,21369,1549434716,19914
96,1549243646,21548,1549263881,21516,1549434716,21262
97,1549243646,21272,1549263881,21429,1549434716,21190
98,1549243646,21573,1549263881,21819,1549434716,20777
99,1549243646,16180,1549263881,8241,1549434716,8392
100,1549243646,19730,1549263881,21268,1549434716,21205
101,1549243646,20797,1549263881,21097,1549434716,20929
102,1549243646,21170,1549263881,21224,1549434716,21320
103,1549243646,21079,1549263881,21484,1549434716,21518
104,1549243646,21448,1549263881,21656,1549434716,21260
105,1549243646,21295,1549263881,20269,1549434716,9640
106,1549243646,8695,1549263881,7864,1549434716,7460
107,1549243646,8541,1549263881,8180,1549434716,8275
108,1549243646,16328,1549263881,8573,1549434716,7946
109,1549243646,8078,1549263881,17273,1549434716,21700
110,1549243646,8247,1549263881,16143,1549434716,17914
111,1549243646,8444,1549263881,12024,1549434716,21049
112,1549243646,21499,1549263881,21179,1549434716,21355
113,1549243646,21265,1549263881,20710,1549434716,21002
114,1549243646,21003,1549263881,21248,1549434716,21077
115,1549243646,21201,1549263881,20945,1549434716,21462
116,1549243646,21021,1549263881,20867,1549434716,21242
117,1549243646,20684,1549263881,21185,1549434716,21724
118,1549243646,21005,1549263881,21403,1549434716,20729
119,1549243646,21451,1549263881,21494,1549434716,21561
120,1549243646,21379,1549263881,21179,1549434716,20778
121,1549243646,20845,1549263881,21122,1549434716,21151
122,1549243646,21406,1549263881,21557,1549434716,20615
123,1549243646,18931,1549263881,8688,1549434716,8086
124,1549243646,7717,1549263881,7903,1549434716,8457
125,1549243646,8193,1549263881,8475,1549434716,8305
126,1549243646,8656,1549263881,7782,1549434716,8039
127,1549243646,7471,1549263881,8299,1549434716,7721
