threshold,CompareCount1,time1,CompareCount2,time2,CompareCount3,time3
1,707621521,8384,707626547,8122,707623713,8249
2,707621521,7038,707626547,6825,707623713,6704
3,707619693,6273,707625062,6313,707624545,6331
4,708826675,5998,708835284,6143,708830992,6966
5,708826675,7093,708835284,6300,708830992,6270
6,708826675,6430,708835284,6375,708830992,6044
7,715664794,5743,715670962,5901,715665945,5729
8,717613567,6239,717619330,5876,717620605,5777
9,717613567,5756,717619330,5746,717620605,5727
10,717613567,5795,717619330,5797,717620605,5635
11,717613567,5377,717619330,5479,717620605,5814
12,717613567,6354,717619330,5827,717620605,5826
13,717613567,6790,717619330,6366,717620605,5858
14,738290865,6328,738274270,5411,738293943,5355
15,749015189,5562,749009994,5206,749024939,5246
16,749015189,5254,749009994,5234,749024939,5437
17,749015189,5704,749009994,5505,749024939,5445
18,749015189,5511,749009994,5353,749024939,5548
19,749015189,5179,749009994,5174,749024939,5149
20,749015189,5375,749009994,5151,749024939,5144
21,749015189,5318,749009994,5123,749024939,5129
22,749015189,5124,749009994,5133,749024939,5273
23,749015189,5165,749009994,5155,749024939,5154
24,749015189,5127,749009994,5133,749024939,5184
25,749015189,5166,749009994,5244,749024939,5112
26,749015189,5156,749009994,5154,749024939,5113
27,749015189,5085,749009994,5158,749024939,5123
28,779432788,5114,779409683,5124,779456790,5135
29,830894742,5178,830936081,5174,830974245,5182
30,830894742,5177,830936081,5184,830974245,5147
31,830894742,5263,830936081,5280,830974245,5210
32,830894742,5237,830936081,5189,830974245,5134
33,830894742,5173,830936081,5174,830974245,5241
34,830894742,5177,830936081,5150,830974245,5156
35,830894742,5175,830936081,5129,830974245,5133
36,830894742,5191,830936081,5275,830974245,5177
37,830894742,5165,830936081,5200,830974245,5348
38,830894742,5222,830936081,5137,830974245,5161
39,830894742,5202,830936081,5193,830974245,5233
40,830894742,5220,830936081,5236,830974245,5217
41,830894742,5272,830936081,5234,830974245,5233
42,830894742,5209,830936081,5257,830974245,5239
43,830894742,5201,830936081,5221,830974245,5269
44,830894742,5275,830936081,5236,830974245,5220
45,830894742,5206,830936081,5230,830974245,5199
46,830894742,5276,830936081,5194,830974245,5232
47,830894742,5183,830936081,5326,830974245,5239
48,830894742,5237,830936081,5246,830974245,5180
49,830894742,5230,830936081,5272,830974245,5240
50,830894742,5278,830936081,5339,830974245,5285
51,830894742,5300,830936081,5200,830974245,5218
52,830894742,5408,830936081,5283,830974245,5280
53,830894742,5294,830936081,5242,830974245,5401
54,830894742,5334,830936081,5220,830974245,5306
55,830894742,5322,830936081,5241,830974245,5258
56,830894742,5251,830936081,5240,830974245,5235
57,975693596,5467,975729661,5542,975735027,5516
58,1018186927,5579,1018208930,5654,1018244962,5612
59,1018186927,5598,1018208930,5635,1018244962,5609
60,1018186927,5666,1018208930,5659,1018244962,5662
61,1018186927,5555,1018208930,5607,1018244962,5686
62,1018186927,5736,1018208930,5564,1018244962,5562
63,1018186927,5630,1018208930,5708,1018244962,5612
64,1018186927,5635,1018208930,5654,1018244962,5596
65,1018186927,5621,1018208930,5641,1018244962,5655
66,1018186927,5630,1018208930,5567,1018244962,5667
67,1018186927,5648,1018208930,5633,1018244962,5612
68,1018186927,5711,1018208930,5669,1018244962,5671
69,1018186927,5647,1018208930,5607,1018244962,5613
70,1018186927,5616,1018208930,5621,1018244962,5603
71,1018186927,5608,1018208930,5631,1018244962,5568
72,1018186927,5601,1018208930,5696,1018244962,5594
73,1018186927,5625,1018208930,5597,1018244962,5648
74,1018186927,5650,1018208930,5593,1018244962,5606
75,1018186927,5623,1018208930,5651,1018244962,5592
76,1018186927,5702,1018208930,5605,1018244962,5609
77,1018186927,5608,1018208930,5633,1018244962,5622
78,1018186927,5681,1018208930,5591,1018244962,5609
79,1018186927,5637,1018208930,5645,1018244962,5630
80,1018186927,5600,1018208930,5608,1018244962,5651
81,1018186927,5598,1018208930,5587,1018244962,5608
82,1018186927,5627,1018208930,5590,1018244962,5748
83,1018186927,5619,1018208930,5584,1018244962,5567
84,1018186927,5632,1018208930,5563,1018244962,5630
85,1018186927,5611,1018208930,5670,1018244962,5666
86,1018186927,5862,1018208930,5610,1018244962,5600
87,1018186927,5604,1018208930,5670,1018244962,5615
88,1018186927,5602,1018208930,5601,1018244962,5572
89,1018186927,5600,1018208930,5653,1018244962,5640
90,1018186927,5628,1018208930,5637,1018244962,5625
91,1018186927,5634,1018208930,5755,1018244962,5716
92,1018186927,5621,1018208930,5568,1018244962,5582
93,1018186927,5598,1018208930,5558,1018244962,5610
94,1018186927,5563,1018208930,5541,1018244962,5632
95,1018186927,5565,1018208930,5626,1018244962,5574
96,1018186927,5637,1018208930,5555,1018244962,5620
97,1018186927,5622,1018208930,5585,1018244962,5593
98,1018186927,5575,1018208930,5560,1018244962,5623
99,1018186927,5592,1018208930,5664,1018244962,5592
100,1018186927,5595,1018208930,5620,1018244962,5612
101,1018186927,5577,1018208930,5573,1018244962,5654
102,1018186927,5605,1018208930,5563,1018244962,5634
103,1018186927,5688,1018208930,5659,1018244962,5672
104,1018186927,5625,1018208930,5571,1018244962,5560
105,1018186927,5623,1018208930,5553,1018244962,5602
106,1018186927,5619,1018208930,5542,1018244962,5588
107,1018186927,5524,1018208930,5666,1018244962,5554
108,1018186927,5614,1018208930,5595,1018244962,5572
109,1018186927,5605,1018208930,5601,1018244962,5625
110,1018186927,5608,1018208930,5591,1018244962,5628
111,1018186927,5599,1018208930,5548,1018244962,5608
112,1018186927,5647,1018208930,5557,1018244962,5608
113,1018186927,5638,1018208930,5578,1018244962,5564
114,1240431011,6183,1240551500,6085,1240557501,6106
115,1418730381,6476,1418997196,6537,1418984633,6485
116,1418730381,6546,1418997196,6554,1418984633,6467
117,1418730381,6522,1418997196,6510,1418984633,6409
118,1418730381,6456,1418997196,6527,1418984633,6490
119,1418730381,6462,1418997196,6551,1418984633,6492
120,1418730381,6604,1418997196,6569,1418984633,6536
121,1418730381,6553,1418997196,6612,1418984633,6476
122,1418730381,6585,1418997196,6469,1418984633,6499
123,1418730381,6534,1418997196,6615,1418984633,6482
124,1418730381,6535,1418997196,6497,1418984633,6563
125,1418730381,6595,1418997196,6585,1418984633,6550
126,1418730381,6612,1418997196,6540,1418984633,6529
127,1418730381,6536,1418997196,6542,1418984633,6536
