threshold,CompareCount1,time1,CompareCount2,time2,CompareCount3,time3
1,220097450,2137,220101542,2106,220101259,2369
2,220097450,2040,220101542,2015,220101259,2117
3,220097450,2226,220101638,3354,220101389,1901
4,220218248,1835,220221793,1975,220223166,1888
5,221103919,1867,221108114,1750,221109577,1754
6,221103919,1874,221108114,1715,221109577,1698
7,221103919,1748,221108114,1746,221109577,1722
8,221103919,1677,221108114,1654,221109577,1811
9,223142367,1703,223150952,1701,223152873,1672
10,226412892,1641,226415549,1630,226420409,1633
11,226412892,1668,226415549,1640,226420409,1837
12,226412892,1731,226415549,1730,226420409,1630
13,226412892,1752,226415549,1639,226420409,1600
14,226412892,1641,226415549,1430,226420409,1793
15,226412892,1597,226415549,1631,226420409,1633
16,226412892,1599,226415549,1529,226420409,1795
17,226412892,1692,226415549,1638,226420409,1611
18,226412892,1645,226415549,1416,226420409,1728
19,240979810,2662,241004467,4167,240995511,4587
20,242296084,4188,242312412,4506,242308814,4643
21,242296084,4243,242312412,4439,242308814,1989
22,242296084,1578,242312412,1592,242308814,1658
23,242296084,1693,242312412,1756,242308814,1723
24,242296084,1699,242312412,1716,242308814,4362
25,242296084,4592,242312412,4729,242308814,4083
26,242296084,4586,242312412,4655,242308814,4633
27,242296084,4763,242312412,4730,242308814,4330
28,242296084,4417,242312412,4699,242308814,4647
29,242296084,4485,242312412,4574,242308814,4463
30,242296084,4082,242312412,4290,242308814,4494
31,242296084,4211,242312412,4291,242308814,1492
32,242296084,1778,242312412,1638,242308814,1625
33,242296084,3781,242312412,3722,242308814,2886
34,242296084,2993,242312412,4764,242308814,4875
35,242296084,4680,242312412,4800,242308814,4533
36,242296084,4777,242312412,4892,242308814,4708
37,242296084,4846,242312412,4837,242308814,4419
38,275216576,4690,275252781,4797,275222774,4726
39,281235094,2884,281247462,4783,281227405,4770
40,281235094,4646,281247462,2932,281227405,4777
41,281235094,4902,281247462,4919,281227405,4864
42,281235094,4653,281247462,4860,281227405,4814
43,281235094,4417,281247462,4888,281227405,4906
44,281235094,4742,281247462,4713,281227405,4812
45,281235094,4741,281247462,2814,281227405,4862
46,281235094,4863,281247462,4531,281227405,4827
47,281235094,4927,281247462,4911,281227405,4662
48,281235094,4728,281247462,4365,281227405,4778
49,281235094,4889,281247462,4921,281227405,4862
50,281235094,4948,281247462,4635,281227405,4684
51,281235094,4769,281247462,4943,281227405,4910
52,281235094,4808,281247462,4750,281227405,4609
53,281235094,4954,281247462,4883,281227405,4885
54,281235094,4996,281247462,4747,281227405,4680
55,281235094,4725,281247462,4797,281227405,4792
56,281235094,4892,281247462,4790,281227405,4545
57,281235094,4790,281247462,4976,281227405,4918
58,281235094,4957,281247462,4878,281227405,4580
59,281235094,4716,281247462,4647,281227405,3829
60,281235094,4679,281247462,4814,281227405,4636
61,281235094,4611,281247462,4880,281227405,4550
62,281235094,4903,281247462,4736,281227405,4542
63,281235094,4403,281247462,4702,281227405,4643
64,281235094,4163,281247462,4109,281227405,4611
65,281235094,4368,281247462,4388,281227405,4668
66,281235094,4931,281247462,4869,281227405,4801
67,281235094,4742,281247462,4551,281227405,4906
68,281235094,4795,281247462,4712,281227405,4670
69,281235094,4728,281247462,4260,281227405,4686
70,281235094,4698,281247462,3909,281227405,4044
71,281235094,4771,281247462,4701,281227405,4345
72,281235094,4819,281247462,4765,281227405,4654
73,281235094,4714,281247462,4824,281227405,4392
74,281235094,2870,281247462,4665,281227405,4828
75,281235094,4579,281247462,4848,281227405,4792
76,341541140,4641,341536407,5071,341533803,5052
77,367299678,5192,367332211,5110,367318089,5124
78,367299678,4864,367332211,5111,367318089,5172
79,367299678,5176,367332211,5137,367318089,4773
80,367299678,4451,367332211,5153,367318089,5332
81,367299678,5134,367332211,5227,367318089,5013
82,367299678,4998,367332211,5172,367318089,5203
83,367299678,5220,367332211,5175,367318089,4970
84,367299678,5077,367332211,5195,367318089,5028
85,367299678,5066,367332211,5266,367318089,4926
86,367299678,5197,367332211,5287,367318089,5058
87,367299678,5303,367332211,5118,367318089,4728
88,367299678,5095,367332211,4504,367318089,5111
89,367299678,5145,367332211,5117,367318089,4783
90,367299678,5102,367332211,5214,367318089,5242
91,367299678,5234,367332211,5007,367318089,5043
92,367299678,5141,367332211,5030,367318089,4986
93,367299678,5107,367332211,4965,367318089,4968
94,367299678,5192,367332211,5107,367318089,5168
95,367299678,5121,367332211,4844,367318089,5059
96,367299678,5215,367332211,5224,367318089,5221
97,367299678,5184,367332211,4898,367318089,5282
98,367299678,5306,367332211,5257,367318089,5304
99,367299678,4893,367332211,4646,367318089,4997
100,367299678,5214,367332211,5154,367318089,5085
101,367299678,5095,367332211,4933,367318089,5227
102,367299678,5183,367332211,4719,367318089,4730
103,367299678,5005,367332211,4964,367318089,5247
104,367299678,5082,367332211,5129,367318089,4997
105,367299678,4895,367332211,4791,367318089,5020
106,367299678,5006,367332211,5124,367318089,5171
107,367299678,4919,367332211,4847,367318089,5185
108,367299678,5124,367332211,5178,367318089,5170
109,367299678,4886,367332211,5052,367318089,5087
110,367299678,4982,367332211,5216,367318089,5162
111,367299678,4358,367332211,4630,367318089,5143
112,367299678,5185,367332211,5132,367318089,5232
113,367299678,4821,367332211,5159,367318089,5244
114,367299678,5166,367332211,5227,367318089,5130
115,367299678,4911,367332211,5254,367318089,5176
116,367299678,5156,367332211,5164,367318089,5131
117,367299678,4909,367332211,5212,367318089,5203
118,367299678,5138,367332211,5025,367318089,4885
119,367299678,4990,367332211,5158,367318089,5217
120,367299678,5228,367332211,5262,367318089,4953
121,367299678,4356,367332211,5053,367318089,5289
122,367299678,5167,367332211,5047,367318089,4821
123,367299678,5069,367332211,4907,367318089,4984
124,367299678,4910,367332211,4894,367318089,4888
125,367299678,4832,367332211,4924,367318089,4887
126,367299678,4842,367332211,4948,367318089,4820
127,367299678,4750,367332211,4894,367318089,4928
