threshold,CompareCount1,time1,CompareCount2,time2,CompareCount3,time3
1,1216462782,16904,1216460918,12094,1216467181,24823
2,1216462782,30337,1216460918,13718,1216467181,11688
3,1216461864,10597,1216462507,16740,1216464493,10227
4,1216461864,10614,1216462507,10280,1216464493,10666
5,1216643779,10940,1216645341,10443,1216648168,9919
6,1226448445,21446,1226453250,18463,1226458076,10219
7,1226448445,10056,1226453250,11097,1226458076,10301
8,1226448445,9733,1226453250,9558,1226458076,9325
9,1226448445,10009,1226453250,10399,1226458076,10599
10,1226448445,9918,1226453250,9801,1226458076,9564
11,1228913882,9516,1228916042,10322,1228928540,10556
12,1265648641,9581,1265663269,9591,1265670665,9407
13,1265648641,9342,1265663269,9225,1265670665,9770
14,1265648641,17074,1265663269,9770,1265670665,9882
15,1265648641,12946,1265663269,13263,1265670665,10503
16,1265648641,22059,1265663269,26177,1265670665,24967
17,1265648641,25660,1265663269,25067,1265670665,24879
18,1265648641,24760,1265663269,24643,1265670665,25727
19,1265648641,25425,1265663269,25295,1265670665,25002
20,1265648641,25270,1265663269,25341,1265670665,25382
21,1265648641,25564,1265663269,25558,1265670665,25239
22,1265648641,25291,1265663269,25333,1265670665,25234
23,1281311398,25415,1281334614,25484,1281347567,25724
24,1373639172,25180,1373614781,25198,1373660249,25146
25,1373639172,25241,1373614781,25471,1373660249,25072
26,1373639172,25125,1373614781,25229,1373660249,25249
27,1373639172,25284,1373614781,25057,1373660249,25172
28,1373639172,25251,1373614781,25357,1373660249,25344
29,1373639172,25304,1373614781,25400,1373660249,25273
30,1373639172,25381,1373614781,25423,1373660249,25361
31,1373639172,25132,1373614781,25104,1373660249,25076
32,1373639172,25303,1373614781,25317,1373660249,25315
33,1373639172,25262,1373614781,25178,1373660249,25204
34,1373639172,25234,1373614781,25519,1373660249,25255
35,1373639172,25094,1373614781,25160,1373660249,25070
36,1373639172,10929,1373614781,22290,1373660249,25259
37,1373639172,25290,1373614781,25245,1373660249,25203
38,1373639172,25348,1373614781,24784,1373660249,25074
