num_vertices,num_edges,compare_count
1000,200000,124099
1000,200000,123676
1000,200000,124085
1000,200000,123748
1000,200000,123841
1000,200000,123818
1000,200000,124024
1000,200000,123589
1000,200000,123628
1000,200000,123626
2000,200000,151631
2000,200000,151277
2000,200000,151206
2000,200000,151310
2000,200000,151771
2000,200000,151475
2000,200000,151541
2000,200000,151263
2000,200000,151344
2000,200000,151491
3000,200000,180743
3000,200000,180549
3000,200000,180976
3000,200000,180460
3000,200000,180565
3000,200000,180159
3000,200000,180576
3000,200000,181014
3000,200000,181093
3000,200000,180548
4000,200000,209415
4000,200000,209464
4000,200000,210126
4000,200000,209419
4000,200000,209661
4000,200000,209507
4000,200000,210010
4000,200000,210089
4000,200000,209419
4000,200000,209390
5000,200000,240233
5000,200000,240092
5000,200000,240335
5000,200000,239733
5000,200000,240570
5000,200000,240654
5000,200000,240281
5000,200000,239570
5000,200000,240133
5000,200000,240140
6000,200000,270842
6000,200000,270752
6000,200000,270870
6000,200000,270691
6000,200000,270799
6000,200000,270801
6000,200000,270749
6000,200000,270737
6000,200000,270762
6000,200000,270771
7000,200000,301052
7000,200000,301658
7000,200000,300865
7000,200000,301218
7000,200000,300812
7000,200000,300956
7000,200000,300854
7000,200000,300961
7000,200000,300710
7000,200000,301246
8000,200000,330930
8000,200000,331533
8000,200000,331360
8000,200000,331177
8000,200000,331177
8000,200000,331330
8000,200000,331719
8000,200000,330942
8000,200000,331263
8000,200000,330613
9000,200000,363126
9000,200000,362794
9000,200000,362223
9000,200000,363374
9000,200000,363146
9000,200000,362642
9000,200000,363034
9000,200000,363495
9000,200000,362985
9000,200000,362715
10000,200000,394974
10000,200000,394975
10000,200000,394655
10000,200000,394923
10000,200000,394603
10000,200000,395293
10000,200000,394464
10000,200000,394540
10000,200000,395076
10000,200000,395066
11000,200000,426047
11000,200000,426610
11000,200000,426651
11000,200000,426554
11000,200000,426203
11000,200000,426880
11000,200000,426129
11000,200000,426887
11000,200000,426819
11000,200000,426397
12000,200000,457900
12000,200000,459055
12000,200000,458026
12000,200000,458009
12000,200000,457962
12000,200000,457928
12000,200000,458740
12000,200000,457869
12000,200000,458548
12000,200000,458583
13000,200000,490221
13000,200000,489072
13000,200000,490074
13000,200000,489720
13000,200000,490092
13000,200000,490040
13000,200000,490047
13000,200000,489833
13000,200000,490262
13000,200000,489654
14000,200000,520987
14000,200000,521461
14000,200000,521294
14000,200000,521623
14000,200000,520549
14000,200000,521274
14000,200000,520744
14000,200000,521242
14000,200000,521483
14000,200000,521173
15000,200000,553107
15000,200000,552790
15000,200000,552666
15000,200000,552132
15000,200000,552860
15000,200000,552239
15000,200000,553299
15000,200000,552291
15000,200000,551831
15000,200000,552536
16000,200000,584163
16000,200000,584047
16000,200000,583678
16000,200000,583825
16000,200000,585099
16000,200000,583998
16000,200000,583284
16000,200000,583829
16000,200000,584276
16000,200000,583968
17000,200000,616290
17000,200000,616432
17000,200000,616951
17000,200000,616717
17000,200000,616361
17000,200000,616086
17000,200000,616269
17000,200000,616028
17000,200000,615690
17000,200000,616797
18000,200000,649595
18000,200000,649796
18000,200000,649978
18000,200000,649709
18000,200000,649456
18000,200000,650103
18000,200000,649574
18000,200000,649658
18000,200000,649319
18000,200000,649112
19000,200000,682663
19000,200000,682281
19000,200000,681915
19000,200000,682969
19000,200000,683510
19000,200000,682341
19000,200000,682559
19000,200000,682000
19000,200000,682332
19000,200000,682950
20000,200000,715541
20000,200000,715501
20000,200000,715751
20000,200000,715550
20000,200000,715771
20000,200000,716362
20000,200000,715576
20000,200000,715562
20000,200000,715994
20000,200000,715802
21000,200000,748315
21000,200000,748857
21000,200000,748233
21000,200000,748684
21000,200000,748909
21000,200000,748567
21000,200000,747982
21000,200000,748636
21000,200000,748586
21000,200000,748449
22000,200000,780989
22000,200000,781360
22000,200000,781606
22000,200000,781591
22000,200000,781428
22000,200000,781662
22000,200000,781612
22000,200000,780466
22000,200000,782013
22000,200000,781865
23000,200000,814692
23000,200000,814541
23000,200000,813217
23000,200000,814175
23000,200000,813410
23000,200000,814008
23000,200000,813675
23000,200000,813560
23000,200000,814508
23000,200000,814136
24000,200000,846855
