num_vertices,num_edges,compare_count
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
100,10000,14850
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
200,10000,59700
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
300,10000,134550
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
400,10000,239400
