num_vertices,num_edges,time
1000,10000,530400
1000,20000,920400
1000,30000,1906900
1000,40000,1668500
1000,50000,1377200
1000,60000,2042900
1000,70000,2205600
1000,80000,4582100
1000,90000,5578800
1000,100000,8617900
1000,110000,8078000
1000,120000,7683600
1000,130000,9126600
1000,140000,13892400
1000,150000,13482400
1000,160000,14916200
1000,170000,17383800
1000,180000,24171100
1000,190000,28511400
1000,200000,20693400
1000,210000,15002200
1000,220000,32014700
1000,230000,27629100
1000,240000,38886700
1000,250000,35591900
1000,260000,32282200
1000,270000,28573800
1000,280000,54658600
1000,290000,46609100
1000,300000,41362400
1000,310000,34311100
1000,320000,68931200
1000,330000,76095300
1000,340000,53392300
1000,350000,43115700
1000,360000,48829100
1000,370000,19976700
1000,380000,60649700
1000,390000,38337100
1000,400000,55452400
1000,410000,54547300
1000,420000,73468100
1000,430000,92628900
1000,440000,98864400
1000,450000,51588200
1000,460000,63593400
1000,470000,63530300
1000,480000,58223900
1000,490000,65062700
1000,500000,79155800
1000,510000,105224500
1000,520000,56207100
1000,530000,55494200
1000,540000,71733100
1000,550000,90875900
1000,560000,85786100
1000,570000,108689000
1000,580000,110293800
1000,590000,110377100
1000,600000,126274900
1000,610000,120231700
1000,620000,110506700
1000,630000,80187200
1000,640000,130742200
1000,650000,123755500
1000,660000,89960600
1000,670000,106303700
1000,680000,122331500
1000,690000,137939900
1000,700000,153711500
1000,710000,134583800
1000,720000,118531200
1000,730000,174931100
1000,740000,147643900
1000,750000,122528600
1000,760000,166254600
1000,770000,147362700
1000,780000,162146200
1000,790000,147603300
1000,800000,144594000
1000,810000,140274500
1000,820000,159745500
1000,830000,163154500
1000,840000,185225600
1000,850000,183674300
1000,860000,151083500
1000,870000,141821500
1000,880000,137744100
1000,890000,192524300
1000,900000,225643600
1000,910000,251260000
1000,920000,229431500
1000,930000,233206200
1000,940000,228605000
1000,950000,244675200
1000,960000,256898700
1000,970000,234293600
1000,980000,257956200
1000,990000,239246100
1000,1000000,221255600
1000,10000,1445300
1000,20000,2117400
1000,30000,2925000
1000,40000,4102100
1000,50000,4816900
1000,60000,4941300
1000,70000,7776100
1000,80000,3611900
1000,90000,4097800
1000,100000,4607200
1000,110000,7538800
1000,120000,4753700
1000,130000,6518400
1000,140000,7444500
1000,150000,6905500
1000,160000,8156700
1000,170000,9095100
1000,180000,10686700
1000,190000,8894300
1000,200000,10125100
1000,210000,16745300
1000,220000,23393200
1000,230000,18680600
1000,240000,15014400
1000,250000,18296700
1000,260000,22126000
1000,270000,16920700
1000,280000,22172200
1000,290000,23634900
1000,300000,20390600
1000,310000,28625200
1000,320000,29768000
1000,330000,30995200
1000,340000,27267500
1000,350000,32082800
1000,360000,32187700
1000,370000,41455900
1000,380000,45189700
1000,390000,37796000
1000,400000,43056000
1000,410000,41509100
1000,420000,39827900
1000,430000,39746800
1000,440000,41486300
1000,450000,40271900
1000,460000,43233800
1000,470000,43632600
1000,480000,46820300
1000,490000,50198400
1000,500000,47812600
1000,510000,50847600
1000,520000,53988000
1000,530000,49604200
1000,540000,50629700
1000,550000,59164900
1000,560000,51581700
1000,570000,59568800
1000,580000,67413200
1000,590000,67114500
1000,600000,61575000
1000,610000,68630000
1000,620000,69368900
1000,630000,67004500
1000,640000,88762100
1000,650000,78496800
1000,660000,77567800
1000,670000,77190600
1000,680000,73839300
1000,690000,84464300
1000,700000,81681700
1000,710000,97906100
1000,720000,85648000
1000,730000,93287500
1000,740000,130631100
1000,750000,96537900
1000,760000,94518300
1000,770000,86828900
1000,780000,93859000
1000,790000,90291300
1000,800000,134271100
1000,810000,98038000
1000,820000,110535300
1000,830000,103192700
1000,840000,106389300
1000,850000,102999700
1000,860000,103148400
1000,870000,104560100
1000,880000,126536500
1000,890000,109250300
1000,900000,117556700
1000,910000,113329900
1000,920000,129215700
1000,930000,118210400
1000,940000,120432100
1000,950000,147408400
1000,960000,192743200
1000,970000,159438200
1000,980000,176813200
1000,990000,174341300
1000,1000000,173157800
1000,10000,658300
