num_vertices,num_edges,compare_count
10000,10000,346
10000,10000,4
10000,10000,18
10000,10000,4
10000,10000,4
10000,10000,23
10000,10000,4
10000,10000,9
10000,10000,4
10000,10000,28
10000,20000,4
10000,20000,209219
10000,20000,206966
10000,20000,207492
10000,20000,205661
10000,20000,32
10000,20000,209131
10000,20000,208800
10000,20000,4
10000,20000,209296
10000,30000,265828
10000,30000,269160
10000,30000,265752
10000,30000,266696
10000,30000,266734
10000,30000,267852
10000,30000,268400
10000,30000,265913
10000,30000,267222
10000,30000,266121
10000,40000,289574
10000,40000,290187
10000,40000,289433
10000,40000,289473
10000,40000,289295
10000,40000,290528
10000,40000,288825
10000,40000,290242
10000,40000,289001
10000,40000,289576
10000,50000,302221
10000,50000,302247
10000,50000,301996
10000,50000,301831
10000,50000,301790
10000,50000,301859
10000,50000,301976
10000,50000,301788
10000,50000,302383
10000,50000,301893
10000,60000,310816
10000,60000,310936
10000,60000,310467
10000,60000,310728
10000,60000,311160
10000,60000,311604
10000,60000,311008
10000,60000,310636
10000,60000,310738
10000,60000,310562
10000,70000,318487
10000,70000,318298
10000,70000,318474
10000,70000,318666
10000,70000,318724
10000,70000,318431
10000,70000,318194
10000,70000,317832
10000,70000,318154
10000,70000,318128
10000,80000,324893
10000,80000,325506
10000,80000,325024
10000,80000,325236
10000,80000,325523
10000,80000,324776
10000,80000,325177
10000,80000,325457
10000,80000,324939
10000,80000,324756
10000,90000,331848
10000,90000,332066
10000,90000,331496
10000,90000,331852
10000,90000,331996
10000,90000,331776
10000,90000,331824
10000,90000,331071
10000,90000,331904
10000,90000,331389
10000,100000,337893
10000,100000,337427
10000,100000,338158
10000,100000,337587
10000,100000,337963
10000,100000,337746
10000,100000,337750
10000,100000,337601
10000,100000,337945
10000,100000,337823
10000,110000,343828
10000,110000,343660
10000,110000,343417
10000,110000,343751
10000,110000,343745
10000,110000,343986
10000,110000,343753
10000,110000,343838
10000,110000,343496
10000,110000,343810
10000,120000,349236
10000,120000,349917
10000,120000,349838
10000,120000,349737
10000,120000,349830
10000,120000,349590
10000,120000,350017
10000,120000,349861
