num_vertices,num_edges,compare_count
1000,10000,1498500
1000,10000,1498500
1000,10000,1498500
1000,10000,1498500
1000,10000,1498500
1000,10000,1498500
1000,10000,1498500
1000,10000,1498500
1000,10000,1498500
1000,10000,1498500
1000,20000,1498500
1000,20000,1498500
1000,20000,1498500
1000,20000,1498500
1000,20000,1498500
1000,20000,1498500
1000,20000,1498500
1000,20000,1498500
1000,20000,1498500
1000,20000,1498500
1000,30000,1498500
1000,30000,1498500
1000,30000,1498500
1000,30000,1498500
1000,30000,1498500
1000,30000,1498500
1000,30000,1498500
1000,30000,1498500
1000,30000,1498500
1000,30000,1498500
1000,40000,1498500
1000,40000,1498500
1000,40000,1498500
1000,40000,1498500
1000,40000,1498500
1000,40000,1498500
1000,40000,1498500
1000,40000,1498500
1000,40000,1498500
1000,40000,1498500
1000,50000,1498500
1000,50000,1498500
1000,50000,1498500
1000,50000,1498500
1000,50000,1498500
1000,50000,1498500
1000,50000,1498500
1000,50000,1498500
1000,50000,1498500
1000,50000,1498500
1000,60000,1498500
1000,60000,1498500
1000,60000,1498500
1000,60000,1498500
1000,60000,1498500
1000,60000,1498500
1000,60000,1498500
1000,60000,1498500
1000,60000,1498500
1000,60000,1498500
1000,70000,1498500
1000,70000,1498500
1000,70000,1498500
1000,70000,1498500
1000,70000,1498500
1000,70000,1498500
1000,70000,1498500
1000,70000,1498500
1000,70000,1498500
1000,70000,1498500
1000,80000,1498500
1000,80000,1498500
1000,80000,1498500
1000,80000,1498500
1000,80000,1498500
1000,80000,1498500
1000,80000,1498500
1000,80000,1498500
1000,80000,1498500
1000,80000,1498500
1000,90000,1498500
1000,90000,1498500
1000,90000,1498500
1000,90000,1498500
1000,90000,1498500
1000,90000,1498500
1000,90000,1498500
1000,90000,1498500
1000,90000,1498500
1000,90000,1498500
1000,100000,1498500
1000,100000,1498500
1000,100000,1498500
1000,100000,1498500
1000,100000,1498500
1000,100000,1498500
1000,100000,1498500
1000,100000,1498500
1000,100000,1498500
1000,100000,1498500
1000,110000,1498500
1000,110000,1498500
1000,110000,1498500
1000,110000,1498500
1000,110000,1498500
1000,110000,1498500
1000,110000,1498500
1000,110000,1498500
1000,110000,1498500
1000,110000,1498500
1000,120000,1498500
1000,120000,1498500
1000,120000,1498500
1000,120000,1498500
1000,120000,1498500
1000,120000,1498500
1000,120000,1498500
1000,120000,1498500
1000,120000,1498500
1000,120000,1498500
1000,130000,1498500
1000,130000,1498500
1000,130000,1498500
1000,130000,1498500
1000,130000,1498500
1000,130000,1498500
1000,130000,1498500
1000,130000,1498500
1000,130000,1498500
1000,130000,1498500
1000,140000,1498500
1000,140000,1498500
1000,140000,1498500
1000,140000,1498500
1000,140000,1498500
1000,140000,1498500
1000,140000,1498500
1000,140000,1498500
1000,140000,1498500
1000,140000,1498500
1000,150000,1498500
1000,150000,1498500
1000,150000,1498500
1000,150000,1498500
1000,150000,1498500
1000,150000,1498500
1000,150000,1498500
1000,150000,1498500
1000,150000,1498500
1000,150000,1498500
1000,160000,1498500
1000,160000,1498500
1000,160000,1498500
1000,160000,1498500
1000,160000,1498500
1000,160000,1498500
1000,160000,1498500
1000,160000,1498500
1000,160000,1498500
1000,160000,1498500
1000,170000,1498500
1000,170000,1498500
1000,170000,1498500
1000,170000,1498500
1000,170000,1498500
1000,170000,1498500
1000,170000,1498500
1000,170000,1498500
1000,170000,1498500
1000,170000,1498500
1000,180000,1498500
1000,180000,1498500
1000,180000,1498500
1000,180000,1498500
1000,180000,1498500
1000,180000,1498500
1000,180000,1498500
1000,180000,1498500
1000,180000,1498500
1000,180000,1498500
1000,190000,1498500
1000,190000,1498500
1000,190000,1498500
1000,190000,1498500
1000,190000,1498500
1000,190000,1498500
1000,190000,1498500
1000,190000,1498500
1000,190000,1498500
1000,190000,1498500
1000,200000,1498500
1000,200000,1498500
1000,200000,1498500
1000,200000,1498500
1000,200000,1498500
1000,200000,1498500
1000,200000,1498500
1000,200000,1498500
1000,200000,1498500
1000,200000,1498500
1000,210000,1498500
1000,210000,1498500
